DpDx,EL,vSG,vSL,XYLimits,TITLE,BubbleVSL,BubbleVsG,DispersedBubbleVSL,DispersedbubbleVSG,SlugVSL,SlugVSG,AnnularMistVSL,AnnularMistVSG
5849.6468724542,0.990323601,1,1,,,1.000000,0.0129155,3.59381,0.0215443,0.0278256,0.359381,0.129155,2.78256
5930.5365362885,0.9922670531,1.291549665,1.291549665,,,1.291550,0.0129155,4.64159,0.0215443,0.0359381,0.359381,0.16681,2.78256
6046.7025709731,0.992316851,1.6681005372,1.6681005372,,,0.012916,0.016681,5.99484,0.0215443,0.0464159,0.359381,0.215443,2.78256
6247.5088210052,0.9940408815,2.15443469,2.15443469,,,0.016681,0.016681,7.74264,0.0215443,0.0599484,0.359381,0.278256,2.78256
6571.5025263643,0.995379856,2.7825594022,2.7825594022,,,0.021544,0.016681,2.15443,0.0278256,0.0774264,0.359381,0.359381,2.78256
7101.7867965647,0.9964190556,3.5938136638,3.5938136638,,,0.027826,0.016681,2.78256,0.0278256,0.1,0.359381,0.464159,2.78256
7976.2705143828,0.9972251618,4.6415888336,4.6415888336,,,0.035938,0.016681,3.59381,0.0278256,0.0129155,0.464159,0.599484,2.78256
9424.2694989697,0.9978501969,5.9948425032,5.9948425032,,,0.046416,0.016681,4.64159,0.0278256,0.016681,0.464159,0.0129155,3.59381
11827.5129021075,0.9983346774,7.7426368268,7.7426368268,,,0.059948,0.016681,5.99484,0.0278256,0.0215443,0.464159,0.016681,3.59381
5345.3513277657,0.9154879221,10,,,,0.077426,0.016681,7.74264,0.0278256,0.0278256,0.464159,0.0215443,3.59381
5355.2555505061,0.9173710154,12.9154966501,,,,0.100000,0.016681,2.15443,0.0359381,0.0359381,0.464159,0.0278256,3.59381
5367.3972922666,0.9196780085,16.681005372,,,,0.129155,0.016681,2.78256,0.0359381,0.0464159,0.464159,0.0359381,3.59381
5382.0912207221,0.9224673766,21.5443469003,,,,0.166810,0.016681,3.59381,0.0359381,0.0599484,0.464159,0.0464159,3.59381
5399.6017773416,0.9257871312,27.8255940221,,,,0.215443,0.016681,4.64159,0.0359381,0.0774264,0.464159,0.0599484,3.59381
5420.0950929986,0.9296651259,35.938136638,,,,0.278256,0.016681,5.99484,0.0359381,0.1,0.464159,0.0774264,3.59381
5443.5875589929,0.9340984093,46.4158883361,,,,0.359381,0.016681,7.74264,0.0359381,0.129155,0.464159,0.1,3.59381
5469.9036614605,0.9390438338,59.9484250319,,,,0.464159,0.016681,2.15443,0.0464159,0.0129155,0.599484,0.129155,3.59381
5498.6603776841,0.9444128967,77.4263682681,,,,0.599484,0.016681,2.78256,0.0464159,0.016681,0.599484,0.16681,3.59381
5529.2958817242,0.9500736672,,,,,0.774264,0.016681,3.59381,0.0464159,0.0215443,0.599484,0.215443,3.59381
5561.1546410406,0.9558612228,,,,,1.000000,0.016681,4.64159,0.0464159,0.0278256,0.599484,0.278256,3.59381
5593.6307876243,0.9615954843,,,,,1.291550,0.016681,5.99484,0.0464159,0.0359381,0.599484,0.359381,3.59381
5626.3629053734,0.967102706,,,,,0.012916,0.0215443,7.74264,0.0464159,0.0464159,0.599484,0.464159,3.59381
5659.4744293392,0.9722354506,,,,,0.016681,0.0215443,2.15443,0.0599484,0.0599484,0.599484,0.599484,3.59381
5693.8710413668,0.9768864659,,,,,0.021544,0.0215443,2.78256,0.0599484,0.0774264,0.599484,0.774264,3.59381
5731.6419211621,0.9809941443,,,,,0.027826,0.0215443,3.59381,0.0599484,0.1,0.599484,1,3.59381
5776.6654148368,0.9845400066,,,,,0.035938,0.0215443,4.64159,0.0599484,0.129155,0.599484,1.29155,3.59381
5835.5955832454,0.9875406425,,,,,0.046416,0.0215443,5.99484,0.0599484,0.16681,0.599484,1.6681,3.59381
5919.5186284334,0.9900372053,,,,,0.059948,0.0215443,7.74264,0.0599484,0.0129155,0.774264,2.15443,3.59381
6035.7996486128,0.9900990099,,,,,0.077426,0.0215443,2.15443,0.0774264,0.016681,0.774264,2.78256,3.59381
6239.3976444182,0.992316851,,,,,0.100000,0.0215443,2.78256,0.0774264,0.0215443,0.774264,0.0129155,4.64159
6565.6741912079,0.9940408815,,,,,0.129155,0.0215443,3.59381,0.0774264,0.0278256,0.774264,0.016681,4.64159
7097.8742989208,0.995379856,,,,,0.166810,0.0215443,4.64159,0.0774264,0.0359381,0.774264,0.0215443,4.64159
7974.0300981425,0.9964190556,,,,,0.215443,0.0215443,5.99484,0.0774264,0.0464159,0.774264,0.0278256,4.64159
9423.5704582721,0.9972251618,,,,,0.278256,0.0215443,7.74264,0.0774264,0.0599484,0.774264,0.0359381,4.64159
11828.3379466447,0.9978501969,,,,,0.359381,0.0215443,2.15443,0.1,0.0774264,0.774264,0.0464159,4.64159
5226.4374564464,0.8927791882,,,,,0.464159,0.0215443,2.78256,0.1,0.1,0.774264,0.0599484,4.64159
5238.9030857183,0.8951505081,,,,,0.599484,0.0215443,3.59381,0.1,0.129155,0.774264,0.0774264,4.64159
5254.1807310016,0.8980552127,,,,,0.774264,0.0215443,4.64159,0.1,0.16681,0.774264,0.1,4.64159
5272.6643147878,0.9015668658,,,,,1.000000,0.0215443,5.99484,0.1,0.0129155,1,0.129155,4.64159
5294.6842750964,0.9057460273,,,,,1.291550,0.0215443,7.74264,0.1,0.016681,1,0.16681,4.64159
5320.4472208922,0.9106282183,,,,,0.012916,0.0278256,2.15443,0.129155,0.0215443,1,0.215443,4.64159
5349.9711068466,0.9162107124,,,,,0.016681,0.0278256,2.78256,0.129155,0.0278256,1,0.278256,4.64159
5383.031106233,0.9224408569,,,,,0.021544,0.0278256,3.59381,0.129155,0.0359381,1,0.359381,4.64159
5419.1368915213,0.9292095488,,,,,0.027826,0.0278256,4.64159,0.129155,0.0464159,1,0.464159,4.64159
5457.562380323,0.9363533522,,,,,0.035938,0.0278256,5.99484,0.129155,0.0599484,1,0.599484,4.64159
5497.4419400077,0.9436670409,,,,,0.046416,0.0278256,7.74264,0.129155,0.0774264,1,0.774264,4.64159
5537.934256238,0.9509253308,,,,,0.059948,0.0278256,2.78256,0.16681,0.1,1,1,4.64159
5578.4434260049,0.9579093691,,,,,0.077426,0.0278256,3.59381,0.16681,0.129155,1,1.29155,4.64159
5618.8858144743,0.9644317345,,,,,0.100000,0.0278256,4.64159,0.16681,0.16681,1,1.6681,4.64159
5660.0082607923,0.9703542517,,,,,0.129155,0.0278256,5.99484,0.16681,0.215443,1,2.15443,4.64159
5703.8005413432,0.9755955518,,,,,0.166810,0.0278256,7.74264,0.16681,0.0129155,1.29155,2.78256,4.64159
5754.1018451101,0.9801286561,,,,,0.215443,0.0278256,2.78256,0.215443,0.016681,1.29155,3.59381,4.64159
5817.5797522169,0.9839714052,,,,,0.278256,0.0278256,3.59381,0.215443,0.0215443,1.29155,4.64159,4.64159
5905.3743753165,0.9871735175,,,,,0.359381,0.0278256,4.64159,0.215443,0.0278256,1.29155,0.0129155,5.99484
6021.7948736365,0.9872491864,,,,,0.464159,0.0278256,5.99484,0.215443,0.0359381,1.29155,0.016681,5.99484
6228.9681831835,0.9900990099,,,,,0.599484,0.0278256,7.74264,0.215443,0.0464159,1.29155,0.0215443,5.99484
6558.1747691887,0.992316851,,,,,0.774264,0.0278256,2.78256,0.278256,0.0599484,1.29155,0.0278256,5.99484
7092.8382009234,0.9940408815,,,,,1.000000,0.0278256,3.59381,0.278256,0.0774264,1.29155,0.0359381,5.99484
7971.1469145206,0.995379856,,,,,1.291550,0.0278256,4.64159,0.278256,0.1,1.29155,0.0464159,5.99484
9422.6740588847,0.9964190556,,,,,1.668100,0.0278256,5.99484,0.278256,0.129155,1.29155,0.0599484,5.99484
11829.4076329881,0.9972251618,,,,,0.012916,0.0359381,7.74264,0.278256,0.16681,1.29155,0.0774264,5.99484
5079.1977804886,0.8646596621,,,,,0.016681,0.0359381,0.774264,0.359381,0.215443,1.29155,0.1,5.99484
5094.7683362241,0.8676228062,,,,,0.021544,0.0359381,2.78256,0.359381,0.278256,1.29155,0.129155,5.99484
5113.846745448,0.8712519374,,,,,0.027826,0.0359381,3.59381,0.359381,0.359381,1.29155,0.16681,5.99484
5136.9233020142,0.8756389624,,,,,0.035938,0.0359381,4.64159,0.359381,0.464159,1.29155,0.215443,5.99484
5164.4094720887,0.8808598441,,,,,0.046416,0.0359381,5.99484,0.359381,0.599484,1.29155,0.278256,5.99484
5196.5632252348,0.8869598284,,,,,0.059948,0.0359381,7.74264,0.359381,0.774264,1.29155,0.359381,5.99484
5233.4085060073,0.8939372351,,,,,0.077426,0.0359381,0.774264,0.464159,1,1.29155,0.464159,5.99484
5274.6669235086,0.901729065,,,,,0.100000,0.0359381,1,0.464159,1.29155,1.29155,0.599484,5.99484
5319.7261427952,0.9102027715,,,,,0.129155,0.0359381,2.78256,0.464159,1.6681,1.29155,0.774264,5.99484
5367.6697743224,0.9191583933,,,,,0.166810,0.0359381,3.59381,0.464159,2.15443,1.29155,1,5.99484
5417.3851001455,0.9283432807,,,,,0.215443,0.0359381,4.64159,0.464159,0.0129155,1.6681,1.29155,5.99484
5467.7495495274,0.9374781227,,,,,0.278256,0.0359381,5.99484,0.464159,0.016681,1.6681,1.6681,5.99484
5517.8819827395,0.9462891712,,,,,0.359381,0.0359381,7.74264,0.464159,0.0215443,1.6681,2.15443,5.99484
5567.4412389691,0.9545392569,,,,,0.464159,0.0359381,0.774264,0.599484,0.0278256,1.6681,2.78256,5.99484
5616.970713199,0.9620505944,,,,,0.599484,0.0359381,1,0.599484,0.0359381,1.6681,3.59381,5.99484
5668.326685773,0.9687153179,,,,,0.774264,0.0359381,1.29155,0.599484,0.0464159,1.6681,4.64159,5.99484
5725.2882793984,0.9744936623,,,,,1.000000,0.0359381,2.78256,0.599484,0.0599484,1.6681,5.99484,5.99484
5794.5292658551,0.9794029333,,,,,1.291550,0.0359381,3.59381,0.599484,0.0774264,1.6681,0.0129155,7.74264
5887.2483658692,0.9835018099,,,,,1.668100,0.0359381,4.64159,0.599484,0.1,1.6681,0.016681,7.74264
6021.934630291,0.9868741511,,,,,0.012916,0.0464159,5.99484,0.599484,0.129155,1.6681,0.0215443,7.74264
6215.5751012267,0.9872491864,,,,,0.016681,0.0464159,7.74264,0.599484,0.16681,1.6681,0.0278256,7.74264
6548.5356252297,0.9900990099,,,,,0.021544,0.0464159,0.774264,0.774264,0.215443,1.6681,0.0359381,7.74264
7086.3622155904,0.992316851,,,,,0.027826,0.0464159,1,0.774264,0.278256,1.6681,0.0464159,7.74264
7967.4404788834,0.9940408815,,,,,0.035938,0.0464159,1.29155,0.774264,0.359381,1.6681,0.0599484,7.74264
9421.527041777,0.995379856,,,,,0.046416,0.0464159,1.6681,0.774264,0.464159,1.6681,0.0774264,7.74264
11830.7960144012,0.9964190556,,,,,0.059948,0.0464159,2.15443,0.774264,0.599484,1.6681,0.1,7.74264
4899.1413929184,0.8302705711,,,,,0.077426,0.0464159,2.78256,0.774264,0.774264,1.6681,0.129155,7.74264
4918.3954940074,0.8339358083,,,,,0.100000,0.0464159,3.59381,0.774264,1,1.6681,0.16681,7.74264
4941.9829315782,0.8384243277,,,,,0.129155,0.0464159,4.64159,0.774264,1.29155,1.6681,0.215443,7.74264
4970.5093455854,0.843849985,,,,,0.166810,0.0464159,5.99484,0.774264,1.6681,1.6681,0.278256,7.74264
5004.4846623868,0.8503074526,,,,,0.215443,0.0464159,7.74264,0.774264,2.15443,1.6681,0.359381,7.74264
5044.232186932,0.8578543444,,,,,0.278256,0.0464159,0.774264,1,0.0129155,2.15443,0.464159,7.74264
5089.7902033928,0.8664915875,,,,,0.359381,0.0464159,1,1,0.129155,2.15443,0.599484,7.74264
5140.8271627375,0.8761458745,,,,,0.464159,0.0464159,1.29155,1,0.16681,2.15443,0.774264,7.74264
5196.598955421,0.8866593009,,,,,0.599484,0.0464159,1.6681,1,0.215443,2.15443,1,7.74264
5255.977114797,0.8977911625,,,,,0.774264,0.0464159,2.15443,1,0.278256,2.15443,1.29155,7.74264
5317.5672116373,0.9092346979,,,,,1.000000,0.0464159,2.78256,1,0.359381,2.15443,1.6681,7.74264
5379.9187619135,0.9206475617,,,,,1.291550,0.0464159,3.59381,1,0.464159,2.15443,2.15443,7.74264
5441.8098111403,0.9316903709,,,,,1.668100,0.0464159,4.64159,1,0.599484,2.15443,2.78256,7.74264
5502.5825569648,0.9420647529,,,,,0.012916,0.0599484,5.99484,1,0.774264,2.15443,3.59381,7.74264
5562.5210479919,0.9515424181,,,,,0.016681,0.0599484,7.74264,1,1,2.15443,4.64159,7.74264
5623.3018713669,0.959979893,,,,,0.021544,0.0599484,2.78256,1.29155,1.29155,2.15443,5.99484,7.74264
5688.612243126,0.9673181654,,,,,0.027826,0.0599484,3.59381,1.29155,1.6681,2.15443,7.74264,7.74264
5765.1165005478,0.9735705265,,,,,0.035938,0.0599484,4.64159,1.29155,2.15443,2.15443,0.0129155,10
5864.0717584184,0.9788039274,,,,,0.046416,0.0599484,5.99484,1.29155,0.774264,2.78256,0.016681,10
6004.074689836,0.9831190333,,,,,0.059948,0.0599484,7.74264,1.29155,1,2.78256,0.0215443,10
6198.4047343686,0.9835926851,,,,,0.077426,0.0599484,2.78256,1.6681,1.29155,2.78256,0.0278256,10
6536.1636216257,0.9872491864,,,,,0.100000,0.0599484,3.59381,1.6681,1.6681,2.78256,0.0359381,10
7078.0452662212,0.9900990099,,,,,0.129155,0.0599484,4.64159,1.6681,2.15443,2.78256,0.0464159,10
7962.6822423015,0.992316851,,,,,0.166810,0.0599484,5.99484,1.6681,2.78256,2.78256,0.0599484,10
9420.0634539594,0.9940408815,,,,,0.215443,0.0599484,7.74264,1.6681,3.59381,3.59381,0.0774264,10
11832.6005452803,0.995379856,,,,,0.278256,0.0599484,2.78256,2.15443,,,0.1,10
4682.4714368327,0.7888850671,,,,,0.359381,0.0599484,3.59381,2.15443,,,0.129155,10
4705.9662553597,0.7933585343,,,,,0.464159,0.0599484,4.64159,2.15443,,,0.16681,10
4734.7464415449,0.7988366678,,,,,0.599484,0.0599484,5.99484,2.15443,,,0.215443,10
4769.5530796252,0.8054590878,,,,,0.774264,0.0599484,7.74264,2.15443,,,0.278256,10
4811.0144089896,0.8133429404,,,,,1.000000,0.0599484,3.59381,2.78256,,,0.359381,10
4859.5373257569,0.8225616578,,,,,1.291550,0.0599484,4.64159,2.78256,,,0.464159,10
4915.1893308447,0.8331215733,,,,,1.668100,0.0599484,5.99484,2.78256,,,0.599484,10
4977.5949560249,0.8449407819,,,,,0.012916,0.0774264,7.74264,2.78256,,,0.774264,10
5045.8790527711,0.8578360965,,,,,0.016681,0.0774264,4.64159,3.59381,,,1,10
5118.6900566976,0.8715238839,,,,,0.021544,0.0774264,5.99484,3.59381,,,1.29155,10
5194.3260590872,0.8856382487,,,,,0.027826,0.0774264,7.74264,3.59381,,,1.6681,10
5270.9666747256,0.8997656647,,,,,0.035938,0.0774264,5.99484,4.64159,,,2.15443,10
5346.9923067413,0.9134900962,,,,,0.046416,0.0774264,7.74264,4.64159,,,2.78256,10
5421.3617621148,0.9264390058,,,,,0.059948,0.0774264,7.74264,5.99484,,,3.59381,10
5494.0309228938,0.9383201745,,,,,0.077426,0.0774264,,,,,4.64159,10
5566.4346680844,0.9489423064,,,,,0.100000,0.0774264,,,,,5.99484,10
5642.120592822,0.9582175425,,,,,0.129155,0.0774264,,,,,7.74264,10
5727.7145551701,0.9661489737,,,,,0.166810,0.0774264,,,,,0.0129155,12.9155
5834.5224263544,0.9728091484,,,,,0.215443,0.0774264,,,,,0.016681,12.9155
5981.2561299113,0.9783159059,,,,,0.278256,0.0774264,,,,,0.0215443,12.9155
6176.4385957778,0.9789100229,,,,,0.359381,0.0774264,,,,,0.0278256,12.9155
6520.3126068355,0.9835926851,,,,,0.464159,0.0774264,,,,,0.0359381,12.9155
7067.3815695104,0.9872491864,,,,,0.599484,0.0774264,,,,,0.0464159,12.9155
7956.584557564,0.9900990099,,,,,0.774264,0.0774264,,,,,0.0599484,12.9155
9418.2028074642,0.992316851,,,,,1.000000,0.0774264,,,,,0.0774264,12.9155
11834.9500950569,0.9940408815,,,,,1.291550,0.0774264,,,,,0.1,12.9155
4427.0928673026,0.7401004391,,,,,1.668100,0.0774264,,,,,0.129155,12.9155
4455.2656944286,0.7454653346,,,,,0.012916,0.1,,,,,0.16681,12.9155
4489.7799724076,0.7520360578,,,,,0.016681,0.1,,,,,0.215443,12.9155
4531.5322299481,0.7599817861,,,,,0.021544,0.1,,,,,0.278256,12.9155
4581.2912919768,0.7694463566,,,,,0.027826,0.1,,,,,0.359381,12.9155
4639.5718233382,0.7805235924,,,,,0.035938,0.1,,,,,0.464159,12.9155
4706.4956771042,0.7932299768,,,,,0.046416,0.1,,,,,0.599484,12.9155
4781.6674732864,0.807479521,,,,,0.059948,0.1,,,,,0.774264,12.9155
4864.1002245431,0.8230673341,,,,,0.077426,0.1,,,,,1,12.9155
4952.22834378,0.8396684785,,,,,0.100000,0.1,,,,,1.29155,12.9155
5044.0352761571,0.8568564213,,,,,0.129155,0.1,,,,,1.6681,12.9155
5137.3022523063,0.8741408453,,,,,0.166810,0.1,,,,,2.15443,12.9155
5229.9605214365,0.8910190096,,,,,0.215443,0.1,,,,,2.78256,12.9155
5320.5143832452,0.9070303502,,,,,0.278256,0.1,,,,,3.59381,12.9155
5408.5093516493,0.9218026563,,,,,0.359381,0.1,,,,,4.64159,12.9155
5495.0569115993,0.9350807317,,,,,0.464159,0.1,,,,,5.99484,12.9155
5583.4952877015,0.9467339216,,,,,0.599484,0.1,,,,,7.74264,12.9155
5680.3622676529,0.9567448237,,,,,0.774264,0.1,,,,,0.0129155,16.681
5796.9866303814,0.9651855719,,,,,1.000000,0.1,,,,,0.016681,16.681
5952.1926794165,0.9721892276,,,,,1.291550,0.1,,,,,0.0215443,16.681
6148.4138980907,0.9729277086,,,,,1.668100,0.1,,,,,0.0278256,16.681
6500.0514430946,0.9789100229,,,,,0.012916,0.129155,,,,,0.0359381,16.681
7053.7379646333,0.9835926851,,,,,0.016681,0.129155,,,,,0.0464159,16.681
7948.7883316094,0.9872491864,,,,,0.021544,0.129155,,,,,0.0599484,16.681
9415.8489083194,0.9900990099,,,,,0.027826,0.129155,,,,,0.0774264,16.681
11838.0160886625,0.992316851,,,,,0.035938,0.129155,,,,,0.1,16.681
4133.955856119,0.6840943629,,,,,0.046416,0.129155,,,,,0.129155,16.681
4166.9760459236,0.6903826543,,,,,0.059948,0.129155,,,,,0.16681,16.681
4207.4467352358,0.6980879372,,,,,0.077426,0.129155,,,,,0.215443,16.681
4256.438057449,0.7074123795,,,,,0.100000,0.129155,,,,,0.278256,16.681
4314.883912265,0.7185311424,,,,,0.129155,0.129155,,,,,0.359381,16.681
4383.4388012891,0.7315645069,,,,,0.166810,0.129155,,,,,0.464159,16.681
4462.3188477559,0.7465466553,,,,,0.215443,0.129155,,,,,0.599484,16.681
4551.154814913,0.7633962191,,,,,0.278256,0.129155,,,,,0.774264,16.681
4648.8954454713,0.7818955719,,,,,0.359381,0.129155,,,,,1,16.681
4753.8022993226,0.8016861898,,,,,0.464159,0.129155,,,,,1.29155,16.681
4863.5687142967,0.8222854081,,,,,0.599484,0.129155,,,,,1.6681,16.681
4975.5753437407,0.8431254756,,,,,0.774264,0.129155,,,,,2.15443,16.681
5087.2688880651,0.8636099011,,,,,1.000000,0.129155,,,,,2.78256,16.681
5196.6307672859,0.8831766732,,,,,1.291550,0.129155,,,,,3.59381,16.681
5302.7028715227,0.9013553062,,,,,1.668100,0.129155,,,,,4.64159,16.681
5406.1693377227,0.9178062337,,,,,0.012916,0.16681,,,,,5.99484,16.681
5510.0606053986,0.9323364024,,,,,0.016681,0.16681,,,,,7.74264,16.681
5620.7472947602,0.9448917512,,,,,0.021544,0.16681,,,,,0.0129155,21.5443
5749.529570831,0.9555327753,,,,,0.027826,0.16681,,,,,0.016681,21.5443
5915.3223219913,0.9644017843,,,,,0.035938,0.16681,,,,,0.0215443,21.5443
6112.784587927,0.9653086074,,,,,0.046416,0.16681,,,,,0.0278256,21.5443
6474.2304292798,0.9729277086,,,,,0.059948,0.16681,,,,,0.0359381,21.5443
7036.3295372208,0.9789100229,,,,,0.077426,0.16681,,,,,0.0464159,21.5443
7938.850185432,0.9835926851,,,,,0.100000,0.16681,,,,,0.0599484,21.5443
9412.8903148042,0.9872491864,,,,,0.129155,0.16681,,,,,0.0774264,21.5443
11842.0281674191,0.9900990099,,,,,0.166810,0.16681,,,,,0.1,21.5443
3808.5090444382,0.6219020316,,,,,0.215443,0.16681,,,,,0.129155,21.5443
3846.0912705352,0.6290587627,,,,,0.278256,0.16681,,,,,0.16681,21.5443
3892.1990902101,0.6378370256,,,,,0.359381,0.16681,,,,,0.215443,21.5443
3948.090083513,0.6484745793,,,,,0.464159,0.16681,,,,,0.278256,21.5443
4014.8890553001,0.6611827865,,,,,0.599484,0.16681,,,,,0.359381,21.5443
4093.4315301373,0.6761161794,,,,,0.774264,0.16681,,,,,0.464159,21.5443
4184.0864008016,0.6933377197,,,,,1.000000,0.16681,,,,,0.599484,21.5443
4286.5854400534,0.7127848366,,,,,1.291550,0.16681,,,,,0.774264,21.5443
4399.8989134153,0.7342434024,,,,,1.668100,0.16681,,,,,1,21.5443
4522.2016812199,0.7573375701,,,,,2.154430,0.16681,,,,,1.29155,21.5443
4650.9686364165,0.7815419918,,,,,0.059948,0.215443,,,,,1.6681,21.5443
4783.2207583388,0.8062189963,,,,,0.077426,0.215443,,,,,2.15443,21.5443
4915.9171472518,0.8306773846,,,,,0.100000,0.215443,,,,,2.78256,21.5443
5046.4639754848,0.8542432188,,,,,0.129155,0.215443,,,,,3.59381,21.5443
5173.3031937071,0.876328731,,,,,0.166810,0.215443,,,,,4.64159,21.5443
5296.566825679,0.8964853579,,,,,0.215443,0.215443,,,,,5.99484,21.5443
5418.8455951018,0.9144314092,,,,,0.278256,0.215443,,,,,7.74264,21.5443
5546.2248207646,0.9300522395,,,,,0.359381,0.215443,,,,,0.0129155,27.8256
5689.8870790478,0.9433779273,,,,,0.464159,0.215443,,,,,0.016681,27.8256
5868.7854298935,0.954547685,,,,,0.599484,0.215443,,,,,0.0215443,27.8256
6067.6894400785,0.9556429821,,,,,0.774264,0.215443,,,,,0.0278256,27.8256
6441.4500124166,0.9653086074,,,,,1.000000,0.215443,,,,,0.0359381,27.8256
7014.1959192711,0.9729277086,,,,,1.291550,0.215443,,,,,0.0464159,27.8256
7926.2308520816,0.9789100229,,,,,1.668100,0.215443,,,,,0.0599484,27.8256
9409.2041390121,0.9835926851,,,,,2.154430,0.215443,,,,,0.0774264,27.8256
11847.2965305085,0.9872491864,,,,,0.100000,0.278256,,,,,0.1,27.8256
3461.6991998225,0.5556064476,,,,,0.129155,0.278256,,,,,0.129155,27.8256
3502.9287558145,0.5634563314,,,,,0.166810,0.278256,,,,,0.16681,27.8256
3553.6030485694,0.5731023266,,,,,0.215443,0.278256,,,,,0.215443,27.8256
3615.1728324515,0.584818825,,,,,0.278256,0.278256,,,,,0.278256,27.8256
3688.9779097796,0.5988579222,,,,,0.359381,0.278256,,,,,0.359381,27.8256
3776.0831457716,0.6154175395,,,,,0.464159,0.278256,,,,,0.464159,27.8256
3877.0869691694,0.6346039609,,,,,0.599484,0.278256,,,,,0.599484,27.8256
3991.9278420508,0.6563934461,,,,,0.774264,0.278256,,,,,0.774264,27.8256
4119.7269344022,0.6805998807,,,,,1.000000,0.278256,,,,,1,27.8256
4258.7132650404,0.7068567504,,,,,1.291550,0.278256,,,,,1.29155,27.8256
4406.2767867984,0.7346212099,,,,,1.668100,0.278256,,,,,1.6681,27.8256
4559.1821808511,0.7632050196,,,,,2.154430,0.278256,,,,,2.15443,27.8256
4713.9525283541,0.7918316305,,,,,0.129155,0.359381,,,,,2.78256,27.8256
4867.4043838168,0.8197118085,,,,,0.166810,0.359381,,,,,3.59381,27.8256
5017.2982251321,0.8461241303,,,,,0.215443,0.359381,,,,,4.64159,27.8256
5163.0787494035,0.8704841781,,,,,0.278256,0.359381,,,,,5.99484,27.8256
5306.732954166,0.8923889529,,,,,0.359381,0.359381,,,,,7.74264,27.8256
5453.8969933738,0.9116301708,,,,,0.464159,0.359381,,,,,0.0129155,35.9381
5615.4972542137,0.9281787215,,,,,0.599484,0.359381,,,,,0.016681,35.9381
5810.4276009759,0.9421491116,,,,,1.000000,0.359381,,,,,0.0215443,35.9381
6010.9384351574,0.9434421302,,,,,1.291550,0.359381,,,,,0.0278256,35.9381
6400.0389424552,0.9556429821,,,,,1.668100,0.359381,,,,,0.0359381,35.9381
6986.1829035647,0.9653086074,,,,,2.154430,0.359381,,,,,0.0464159,35.9381
7910.2881362367,0.9729277086,,,,,0.166810,0.464159,,,,,0.0599484,35.9381
